label,image
0,D:\prg\dataset\result\0\1-frame.png
0,D:\prg\dataset\result\0\10-frame.png
0,D:\prg\dataset\result\0\100-frame.png
0,D:\prg\dataset\result\0\101-frame.png
0,D:\prg\dataset\result\0\102-frame.png
0,D:\prg\dataset\result\0\103-frame.png
0,D:\prg\dataset\result\0\104-frame.png
0,D:\prg\dataset\result\0\105-frame.png
0,D:\prg\dataset\result\0\106-frame.png
0,D:\prg\dataset\result\0\107-frame.png
0,D:\prg\dataset\result\0\108-frame.png
0,D:\prg\dataset\result\0\109-frame.png
0,D:\prg\dataset\result\0\11-frame.png
0,D:\prg\dataset\result\0\110-frame.png
0,D:\prg\dataset\result\0\111-frame.png
0,D:\prg\dataset\result\0\112-frame.png
0,D:\prg\dataset\result\0\113-frame.png
0,D:\prg\dataset\result\0\114-frame.png
0,D:\prg\dataset\result\0\115-frame.png
0,D:\prg\dataset\result\0\116-frame.png
0,D:\prg\dataset\result\0\117-frame.png
0,D:\prg\dataset\result\0\118-frame.png
0,D:\prg\dataset\result\0\119-frame.png
0,D:\prg\dataset\result\0\12-frame.png
0,D:\prg\dataset\result\0\120-frame.png
0,D:\prg\dataset\result\0\121-frame.png
0,D:\prg\dataset\result\0\122-frame.png
0,D:\prg\dataset\result\0\123-frame.png
0,D:\prg\dataset\result\0\124-frame.png
0,D:\prg\dataset\result\0\125-frame.png
0,D:\prg\dataset\result\0\126-frame.png
0,D:\prg\dataset\result\0\127-frame.png
0,D:\prg\dataset\result\0\128-frame.png
0,D:\prg\dataset\result\0\129-frame.png
0,D:\prg\dataset\result\0\13-frame.png
0,D:\prg\dataset\result\0\130-frame.png
0,D:\prg\dataset\result\0\131-frame.png
0,D:\prg\dataset\result\0\132-frame.png
0,D:\prg\dataset\result\0\133-frame.png
0,D:\prg\dataset\result\0\134-frame.png
0,D:\prg\dataset\result\0\135-frame.png
0,D:\prg\dataset\result\0\136-frame.png
0,D:\prg\dataset\result\0\137-frame.png
0,D:\prg\dataset\result\0\138-frame.png
0,D:\prg\dataset\result\0\139-frame.png
0,D:\prg\dataset\result\0\14-frame.png
0,D:\prg\dataset\result\0\140-frame.png
0,D:\prg\dataset\result\0\141-frame.png
0,D:\prg\dataset\result\0\142-frame.png
0,D:\prg\dataset\result\0\143-frame.png
0,D:\prg\dataset\result\0\144-frame.png
0,D:\prg\dataset\result\0\145-frame.png
0,D:\prg\dataset\result\0\146-frame.png
0,D:\prg\dataset\result\0\147-frame.png
0,D:\prg\dataset\result\0\148-frame.png
0,D:\prg\dataset\result\0\149-frame.png
0,D:\prg\dataset\result\0\15-frame.png
0,D:\prg\dataset\result\0\150-frame.png
0,D:\prg\dataset\result\0\151-frame.png
0,D:\prg\dataset\result\0\152-frame.png
0,D:\prg\dataset\result\0\153-frame.png
0,D:\prg\dataset\result\0\154-frame.png
0,D:\prg\dataset\result\0\155-frame.png
0,D:\prg\dataset\result\0\156-frame.png
0,D:\prg\dataset\result\0\157-frame.png
0,D:\prg\dataset\result\0\158-frame.png
0,D:\prg\dataset\result\0\159-frame.png
0,D:\prg\dataset\result\0\16-frame.png
0,D:\prg\dataset\result\0\160-frame.png
0,D:\prg\dataset\result\0\161-frame.png
0,D:\prg\dataset\result\0\162-frame.png
0,D:\prg\dataset\result\0\163-frame.png
0,D:\prg\dataset\result\0\164-frame.png
0,D:\prg\dataset\result\0\165-frame.png
0,D:\prg\dataset\result\0\166-frame.png
0,D:\prg\dataset\result\0\167-frame.png
0,D:\prg\dataset\result\0\168-frame.png
0,D:\prg\dataset\result\0\169-frame.png
0,D:\prg\dataset\result\0\17-frame.png
0,D:\prg\dataset\result\0\170-frame.png
0,D:\prg\dataset\result\0\171-frame.png
0,D:\prg\dataset\result\0\172-frame.png
0,D:\prg\dataset\result\0\173-frame.png
0,D:\prg\dataset\result\0\174-frame.png
0,D:\prg\dataset\result\0\175-frame.png
0,D:\prg\dataset\result\0\176-frame.png
0,D:\prg\dataset\result\0\177-frame.png
0,D:\prg\dataset\result\0\178-frame.png
0,D:\prg\dataset\result\0\179-frame.png
0,D:\prg\dataset\result\0\18-frame.png
0,D:\prg\dataset\result\0\180-frame.png
0,D:\prg\dataset\result\0\181-frame.png
0,D:\prg\dataset\result\0\182-frame.png
0,D:\prg\dataset\result\0\183-frame.png
0,D:\prg\dataset\result\0\184-frame.png
0,D:\prg\dataset\result\0\185-frame.png
0,D:\prg\dataset\result\0\186-frame.png
0,D:\prg\dataset\result\0\187-frame.png
0,D:\prg\dataset\result\0\188-frame.png
0,D:\prg\dataset\result\0\189-frame.png
0,D:\prg\dataset\result\0\19-frame.png
0,D:\prg\dataset\result\0\190-frame.png
0,D:\prg\dataset\result\0\191-frame.png
0,D:\prg\dataset\result\0\192-frame.png
0,D:\prg\dataset\result\0\193-frame.png
0,D:\prg\dataset\result\0\194-frame.png
0,D:\prg\dataset\result\0\195-frame.png
0,D:\prg\dataset\result\0\196-frame.png
0,D:\prg\dataset\result\0\197-frame.png
0,D:\prg\dataset\result\0\198-frame.png
0,D:\prg\dataset\result\0\199-frame.png
0,D:\prg\dataset\result\0\2-frame.png
0,D:\prg\dataset\result\0\20-frame.png
0,D:\prg\dataset\result\0\200-frame.png
0,D:\prg\dataset\result\0\201-frame.png
0,D:\prg\dataset\result\0\202-frame.png
0,D:\prg\dataset\result\0\203-frame.png
0,D:\prg\dataset\result\0\204-frame.png
0,D:\prg\dataset\result\0\205-frame.png
0,D:\prg\dataset\result\0\206-frame.png
0,D:\prg\dataset\result\0\207-frame.png
0,D:\prg\dataset\result\0\208-frame.png
0,D:\prg\dataset\result\0\209-frame.png
0,D:\prg\dataset\result\0\21-frame.png
0,D:\prg\dataset\result\0\210-frame.png
0,D:\prg\dataset\result\0\211-frame.png
0,D:\prg\dataset\result\0\212-frame.png
0,D:\prg\dataset\result\0\213-frame.png
0,D:\prg\dataset\result\0\214-frame.png
0,D:\prg\dataset\result\0\215-frame.png
0,D:\prg\dataset\result\0\216-frame.png
0,D:\prg\dataset\result\0\217-frame.png
0,D:\prg\dataset\result\0\218-frame.png
0,D:\prg\dataset\result\0\219-frame.png
0,D:\prg\dataset\result\0\22-frame.png
0,D:\prg\dataset\result\0\220-frame.png
0,D:\prg\dataset\result\0\221-frame.png
0,D:\prg\dataset\result\0\222-frame.png
0,D:\prg\dataset\result\0\223-frame.png
0,D:\prg\dataset\result\0\224-frame.png
0,D:\prg\dataset\result\0\225-frame.png
0,D:\prg\dataset\result\0\226-frame.png
0,D:\prg\dataset\result\0\227-frame.png
0,D:\prg\dataset\result\0\228-frame.png
0,D:\prg\dataset\result\0\229-frame.png
0,D:\prg\dataset\result\0\23-frame.png
0,D:\prg\dataset\result\0\230-frame.png
0,D:\prg\dataset\result\0\231-frame.png
0,D:\prg\dataset\result\0\232-frame.png
0,D:\prg\dataset\result\0\233-frame.png
0,D:\prg\dataset\result\0\234-frame.png
0,D:\prg\dataset\result\0\235-frame.png
0,D:\prg\dataset\result\0\236-frame.png
0,D:\prg\dataset\result\0\237-frame.png
0,D:\prg\dataset\result\0\238-frame.png
0,D:\prg\dataset\result\0\239-frame.png
0,D:\prg\dataset\result\0\24-frame.png
0,D:\prg\dataset\result\0\240-frame.png
0,D:\prg\dataset\result\0\241-frame.png
0,D:\prg\dataset\result\0\242-frame.png
0,D:\prg\dataset\result\0\243-frame.png
0,D:\prg\dataset\result\0\244-frame.png
0,D:\prg\dataset\result\0\245-frame.png
0,D:\prg\dataset\result\0\246-frame.png
0,D:\prg\dataset\result\0\247-frame.png
0,D:\prg\dataset\result\0\248-frame.png
0,D:\prg\dataset\result\0\249-frame.png
0,D:\prg\dataset\result\0\25-frame.png
0,D:\prg\dataset\result\0\250-frame.png
0,D:\prg\dataset\result\0\251-frame.png
0,D:\prg\dataset\result\0\252-frame.png
0,D:\prg\dataset\result\0\253-frame.png
0,D:\prg\dataset\result\0\254-frame.png
0,D:\prg\dataset\result\0\255-frame.png
0,D:\prg\dataset\result\0\256-frame.png
0,D:\prg\dataset\result\0\257-frame.png
0,D:\prg\dataset\result\0\258-frame.png
